1,Surah Al-Fatihah,Pembukaan,7,Mekkah,5
2,Surah Al-Baqarah,Sapi Betina,286,Madinah,87
3,Surah Ali 'Imran,Keluarga 'Imran,200,Madinah,89
4,Surah An-Nisa',Wanita,176,Madinah,92
5,Surah Al-Ma'idah,Jamuan (hidangan makanan),120,Madinah,112
6,Surah Al-An'am,Binatang Ternak,165,Mekkah,55
7,Surah Al-A’raf,Tempat yang tertinggi,206,Mekkah,39
8,Surah Al-Anfal,Harta rampasan perang,75,Madinah,88
9,Surah At-Taubah,Pengampunan,129,Madinah,113
10,Surah Yunus,Nabi Yunus,109,Mekkah,51
11,Surah Hud,Nabi Hud,123,Mekkah,52
12,Surah Yusuf,Nabi Yusuf,111,Mekkah,53
13,Surah Ar-Ra’d,Guruh (petir),43,Mekkah,96
14,Surah Ibrahim,Nabi Ibrahim,52,Mekkah,72
15,Surah Al-Hijr,Al Hijr (nama gunung),99,Mekkah,54
16,Surah An-Nahl,Lebah,128,Mekkah,70
17,Surah Al-Isra',Perjalanan Malam,111,Mekkah,50
18,Surah Al-Kahf,Penghuni-penghuni gua,110,Mekkah,69
19,Surah Maryam,Maryam (Maria),98,Mekkah,44
20,Surah Ta Ha,Ta Ha,135,Mekkah,45
21,Surah Al-Anbiya,Nabi-Nabi,112,Mekkah,73
22,Surah Al-Hajj,Haji,78,Madinah & Makkah,103
23,Surah Al-Mu’minun,Orang-orang mukmin,118,Mekkah,74
24,Surah An-Nur,Cahaya,64,Madinah,102
25,Surah Al-Furqan,Pembeda,77,Mekkah,42
26,Surah Asy-Syu'ara',Penyair,227,Mekkah,47
27,Surah An-Naml,Semut,93,Mekkah,48
28,Surah Al-Qasas,Cerita,88,Mekkah,49
29,Surah Al-'Ankabut,Laba-laba,69,Mekkah,85
30,Surah Ar-Rum,Bangsa Romawi,60,Mekkah,84
31,Surah Luqman,Keluarga Luqman,34,Mekkah,57
32,Surah As-Sajdah,Sajdah,30,Mekkah,75
33,Surah Al-Ahzab,Golongan-Golongan yang bersekutu,73,Madinah,90
34,Surah Saba’,Kaum Saba',54,Mekkah,58
35,Surah Fatir,Pencipta,45,Mekkah,43
36,Surah Ya Sin,Yaasiin,83,Mekkah,41
37,Surah As-Saffat,Barisan-barisan,182,Mekkah,56
38,Surah Sad,Shaad,88,Mekkah,38
39,Surah Az-Zumar,Rombongan-rombongan,75,Mekkah,59
40,Surah Al-Mu’min,Orang yg Beriman,85,Mekkah,60
41,Surah Fussilat,Yang dijelaskan,54,Mekkah,61
42,Surah Asy-Syura,Musyawarah,53,Mekkah,62
43,Surah Az-Zukhruf,Perhiasan,89,Mekkah,63
44,Surah Ad-Dukhan,Kabut,59,Mekkah,64
45,Surah Al-Jasiyah,Yang bertekuk lutut,37,Mekkah,65
46,Surah Al-Ahqaf,Bukit-bukit pasir,35,Mekkah,66
47,Surah Muhammad,Muhammad,38,Madinah,95
